2019-06-06 18:43:32.2692 | INFO | Chess.Program | User input System.String[].
2019-06-06 18:43:32.3462 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:43:32.3462 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:43:32.3642 | TRACE | Chess.Board | The board was building.
2019-06-06 18:43:32.3832 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:43:32.4222 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:43:32.4422 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:43:32.4612 | INFO | Chess.UserInterface | The board was drawing.
2019-06-06 18:45:03.2470 | INFO | Chess.Program | User input 0 8.
2019-06-06 18:45:03.3070 | INFO | Chess.UserInterface | Rows(0) or Colomns(8) parametr out of range
(Must be bigger than 0 and less than 30)
2019-06-06 18:45:40.3186 | INFO | Chess.Program | User input 8 8.
2019-06-06 18:45:40.3726 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.3726 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.3896 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.3896 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4086 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4086 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4226 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4226 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4356 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4356 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4356 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4556 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4556 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4686 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4686 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4686 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.4876 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5006 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5006 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5156 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5156 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5316 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5316 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5466 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5466 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5676 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5826 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5926 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.5926 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6176 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6276 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6276 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6436 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6436 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6606 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6606 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6796 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.6906 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7086 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7256 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7356 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7356 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7596 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7706 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7806 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.7806 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8016 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8016 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8166 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8256 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8256 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8436 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8436 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8646 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8746 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8746 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8946 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.8946 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9146 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9236 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9236 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9406 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9406 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9556 | TRACE | Chess.Cell | Cell was created.
2019-06-06 18:45:40.9666 | TRACE | Chess.Board | The board was building.
2019-06-06 18:45:40.9846 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:40.9846 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:40.9996 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:40.9996 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0136 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0136 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0296 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0296 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0516 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0606 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0606 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0796 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0796 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.0996 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1136 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1226 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1226 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1386 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1386 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1646 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1796 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.1926 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2026 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2466 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2676 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2676 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2866 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2966 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.2966 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3296 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3296 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3496 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3586 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3586 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3796 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3796 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.3966 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.4066 | TRACE | Chess.Cell | Cell was colored.
